NAME,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,Branch ,previous,poutcome,deposit
GERALDINE,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,Airoli ,0,unknown,yes
GIA,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,Airoli ,0,unknown,yes
GIANNA,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,Airoli ,0,unknown,yes
GISELLE,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,Airoli ,0,unknown,yes
GRACE,54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,Airoli ,0,unknown,yes
GUADALUPE,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,Airoli ,0,unknown,yes
HAILEY,56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,Airoli ,0,unknown,yes
HALEY,60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,Airoli ,0,unknown,yes
HANNAH,37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,Airoli ,0,unknown,yes
HAYLEE,28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,Airoli ,0,unknown,yes
HAYLEY,38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,Airoli ,0,unknown,yes
HAZEL,30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,-1,Airoli ,0,unknown,yes
GERALDINE,29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,-1,Airoli ,0,unknown,yes
HEIDI,46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,2,-1,Airoli ,0,unknown,yes
HEIDY,31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,2,-1,Airoli ,0,unknown,yes
HELEN,35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,1,-1,Airoli ,0,unknown,yes
GERALDINE,32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,3,-1,Airoli ,0,unknown,yes
INGRID,49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,Airoli ,0,unknown,yes
